case_id,title,suite,suite_id,assignee,time_spent_ms,status,finish_time,steps,steps_input_data,steps_expected_result,steps_status,comment,priority,severity,automation,type,tags,step_comments,case_parameter
1,"Search an user by registered username",Admin,2,"Indry Prillie Paulus",12952,Passed,"2022-09-04 11:59:17","1. User fills the Username field
2. User clicks search button
","1. John.Smith
2. 
","1. 
2. 1 records found on the list
",,,Medium,Normal,"To be automated",Functional,,,
2,"Search an user by unregistered/incorrect username",Admin,2,"Indry Prillie Paulus",83274,Passed,"2022-09-04 12:00:42","1. User fills the Username field
2. User clicks search button
","1. Jhn.Smith
2. 
","1. 
2. Search not found
",,,Low,Normal,"To be automated",Other,,,
3,"Search an user by registered Employee name",Admin,2,"Indry Prillie Paulus",18343,Passed,"2022-09-04 12:01:03","1. User fills the Employee name field
2. User clicks search button
","1. Fiona Grace
2. 
","1. 
2. 1 records found on the list
",,,Medium,Normal,"To be automated",Functional,,,
4,"Search an user by unregistered/incorrect Employee Name",Admin,2,"Indry Prillie Paulus",23328,Passed,"2022-09-04 12:01:29","1. User fills the Employee Name field
2. User clicks search button
","1. Peter Parker
2. 
","1. 
2. Search not found
",,,Low,Normal,"To be automated",Other,,,
5,"Search by filter user role",Admin,2,"Indry Prillie Paulus",27613,Passed,"2022-09-04 12:01:59","1. User selects User Role filter
2. User clicks search button
","1. Admin
2. 
","1. 
2. list displays all users with specific user role filters
",,,Low,Normal,"To be automated",Functional,,,
6,"Search by filter status",Admin,2,"Indry Prillie Paulus",29645,Passed,"2022-09-04 12:02:32","1. User selects Status filter
2. User clicks search button
","1. Enable
2. 
","1. 
2. the list displays all users with specific status filter
",,,Low,Normal,"To be automated",Functional,,,
7,"Search by registered username and matched user role",Admin,2,"Indry Prillie Paulus",23992,Passed,"2022-09-04 12:03:09","1. User fills the username field
2. User selects user role filter
3. User clicks search button
","1. Anthony.Nolan
2. ESS
3. 
","1. 
2. 
3. searched user found
",,,Medium,Normal,"To be automated",Functional,,,
8,"Search by registered username and mismatched user role",Admin,2,"Indry Prillie Paulus",38292,Passed,"2022-09-04 12:03:52","1. User fills the username field
2. User selects user role filter
3. User clicks search button
","1. Anthony.Nolan
2. Admin
3. 
","1. 
2. 
3. searched user not found
",,,Low,Normal,"To be automated",Functional,,,
9,"Search by registered username and incorrect employee name",Admin,2,"Indry Prillie Paulus",25780,Passed,"2022-09-04 12:04:20","1. User fills the username field
2. User fills the employee name field
3. User clicks search button
","1. Anthony.Nolan
2. Antony Nolep
3. 
","1. 
2. 
3. searched user found
",,,Low,Normal,"To be automated",Functional,,,
10,"Search by incorrect username and correct employee name",Admin,2,"Indry Prillie Paulus",33000,Failed,"2022-09-04 12:06:00","1. User fills the username field
2. User fills the employee name field
3. User clicks search button
","1. Anthny.Nolep
2. Anthony Nolan
3. 
","1. 
2. 
3. searched user not found
","1. Passed
2. Passed
3. Failed
","searched user found",Low,Normal,"To be automated",Functional,,"1. 
2. 
3. ",
